LOKACIJA,"JA - Katastar"
﻿ADRESA,"Kralja Petra I,br. 6"
﻿GPS_POZICIJA,"21.26150000, 43.97550000"
﻿VRSTA_SENZORA,"Sirokopojasno merenje (100kHz – 7GHz)"
﻿VRSTA_MERENJA,"Mereno je elektricno polje"
﻿JEDINICA_MERE,V/m
﻿AKTIVNO,Da
RBR,DATUM_VREME,VREDNOST_POLJA,GRANICA_POLJA,GORNJA_NESIGURNOST,DONJA_NESIGURNOST,GORNJA_IZLOZENOST,DONJA_IZLOZENOST,GRANICA_IZLOZENOST,TEMPERATURA,VLAZNOST
62,"2018-12-28 06:06:00",2.97,11.000,3.6234,2.3166,0.0729,0.0072837395957194,1,10.000,58.000
63,"2018-12-28 06:12:00",2.95,11.000,3.599,2.301,0.071921487603306,0.0071859723873695,1,10.000,58.000
64,"2018-12-28 06:18:00",2.91,11.000,3.5502,2.2698,0.069984297520661,0.0069924197384067,1,10.000,58.000
65,"2018-12-28 06:24:00",2.93,11.000,3.5746,2.2854,0.07094958677686,0.0070888657682653,1,10.000,58.000
66,"2018-12-28 06:30:00",2.92,11.000,3.5624,2.2776,0.070466115702479,0.0070405601796803,1,10.000,58.000
67,"2018-12-28 06:36:00",2.94,11.000,3.5868,2.2932,0.071434710743802,0.0071373365041617,1,10.000,58.000
68,"2018-12-28 06:42:00",2.95,11.000,3.599,2.301,0.071921487603306,0.0071859723873695,1,10.000,58.000
69,"2018-12-28 06:48:00",3.01,11.000,3.6722,2.3478,0.074876859504132,0.0074812557801559,1,10.000,58.000
70,"2018-12-28 06:54:00",3.06,11.000,3.7332,2.3868,0.077385123966942,0.0077318668252081,1,10.000,58.000
71,"2018-12-28 07:00:00",2.94,11.000,3.5868,2.2932,0.071434710743802,0.0071373365041617,1,10.000,58.000
72,"2018-12-28 07:06:00",2.91,11.000,3.5502,2.2698,0.069984297520661,0.0069924197384067,1,10.000,58.000
73,"2018-12-28 07:12:00",2.95,11.000,3.599,2.301,0.071921487603306,0.0071859723873695,1,10.000,58.000
74,"2018-12-28 07:18:00",3.00,11.000,3.66,2.34,0.074380165289256,0.0074316290130797,1,10.000,58.000
75,"2018-12-28 07:24:00",3.04,11.000,3.7088,2.3712,0.076376859504132,0.007631126965253,1,10.000,58.000
76,"2018-12-28 07:30:00",3.04,11.000,3.7088,2.3712,0.076376859504132,0.007631126965253,1,10.000,58.000
77,"2018-12-28 07:36:00",3.04,11.000,3.7088,2.3712,0.076376859504132,0.007631126965253,1,10.000,58.000
78,"2018-12-28 07:42:00",3.10,11.000,3.782,2.418,0.079421487603306,0.0079353283128551,1,10.000,58.000
79,"2018-12-28 07:48:00",3.13,11.000,3.8186,2.4414,0.080966115702479,0.00808965847536,1,10.000,58.000
80,"2018-12-28 07:54:00",3.07,11.000,3.7454,2.3946,0.07789173553719,0.0077824844761527,1,10.000,58.000
81,"2018-12-28 08:00:00",3.11,11.000,3.7942,2.4258,0.079934710743802,0.0079866065530453,1,10.000,58.000
82,"2018-12-28 08:06:00",3.15,11.000,3.843,2.457,0.082004132231405,0.0081933709869203,1,10.000,58.000
83,"2018-12-28 08:12:00",3.10,11.000,3.782,2.418,0.079421487603306,0.0079353283128551,1,10.000,58.000
84,"2018-12-28 08:18:00",3.08,11.000,3.7576,2.4024,0.0784,0.0078332672744088,1,10.000,58.000
85,"2018-12-28 08:24:00",3.16,11.000,3.8552,2.4648,0.082525619834711,0.0082454749636676,1,10.000,58.000
86,"2018-12-28 08:30:00",3.18,11.000,3.8796,2.4804,0.083573553719008,0.0083501783590963,1,10.000,58.000
87,"2018-12-28 08:36:00",3.16,11.000,3.8552,2.4648,0.082525619834711,0.0082454749636676,1,10.000,58.000
88,"2018-12-28 08:42:00",3.14,11.000,3.8308,2.4492,0.081484297520661,0.0081414321574845,1,10.000,58.000
89,"2018-12-28 08:48:00",3.20,11.000,3.904,2.496,0.084628099173554,0.0084555423437706,1,10.000,58.000
90,"2018-12-28 08:54:00",3.23,11.000,3.9406,2.5194,0.086222314049587,0.0086148269256177,1,10.000,58.000
91,"2018-12-28 09:00:00",3.29,11.000,4.0138,2.5662,0.089455371900826,0.0089378550667195,1,10.000,58.000
92,"2018-12-28 09:06:00",3.38,11.000,4.1236,2.6364,0.09441652892562,0.0094335447218919,1,10.000,58.000
93,"2018-12-28 09:12:00",3.33,11.000,4.0626,2.5974,0.091643801652893,0.0091565101070155,1,10.000,58.000
94,"2018-12-28 09:18:00",3.31,11.000,4.0382,2.5818,0.090546280991736,0.0090468522922447,1,10.000,58.000
95,"2018-12-28 09:24:00",3.31,11.000,4.0382,2.5818,0.090546280991736,0.0090468522922447,1,10.000,58.000
96,"2018-12-28 09:30:00",3.26,11.000,3.9772,2.5428,0.087831404958678,0.0087755978332673,1,10.000,58.000
97,"2018-12-28 09:36:00",3.31,11.000,4.0382,2.5818,0.090546280991736,0.0090468522922447,1,10.000,58.000
98,"2018-12-28 09:42:00",3.30,11.000,4.026,2.574,0.09,0.0089922711058264,1,10.000,58.000
99,"2018-12-28 09:48:00",3.35,11.000,4.087,2.613,0.092747933884298,0.0092668285110318,1,10.000,58.000
100,"2018-12-28 09:54:00",3.43,11.000,4.1846,2.6754,0.097230578512397,0.0097147080195534,1,10.000,58.000
101,"2018-12-28 10:00:00",3.42,11.000,4.1724,2.6676,0.096664462809917,0.0096581450653983,1,10.000,58.000
102,"2018-12-28 10:06:00",3.35,11.000,4.087,2.613,0.092747933884298,0.0092668285110318,1,10.000,58.000
103,"2018-12-28 10:12:00",3.35,11.000,4.087,2.613,0.092747933884298,0.0092668285110318,1,10.000,58.000
104,"2018-12-28 10:18:00",3.39,11.000,4.1358,2.6442,0.094976033057851,0.0094894470868014,1,10.000,58.000
